date,time,PPFD_toa
2022/9/29,9:00:00,1479.3595563884892
2022/9/29,9:01:00,1484.5942409007691
2022/9/29,9:02:00,1489.7996922543446
2022/9/29,9:03:00,1494.975811344924
2022/9/29,9:04:00,1500.1224996266592
2022/9/29,9:05:00,1505.239659114028
2022/9/29,9:06:00,1510.3271923836871
2022/9/29,9:07:00,1515.3850025763377
2022/9/29,9:08:00,1520.412993398565
2022/9/29,9:09:00,1525.4110691246701
2022/9/29,9:10:00,1530.379134598496
2022/9/29,9:11:00,1535.31709523524
2022/9/29,9:12:00,1540.2248570232437
2022/9/29,9:13:00,1545.102326525802
2022/9/29,9:14:00,1549.9494108829247
2022/9/29,9:15:00,1554.7660178131139
2022/9/29,9:16:00,1559.5520556151143
2022/9/29,9:17:00,1564.3074331696664
2022/9/29,9:18:00,1569.0320599412378
2022/9/29,9:19:00,1573.7258459797404
2022/9/29,9:20:00,1578.3887019222586
2022/9/29,9:21:00,1583.0205389947348
2022/9/29,9:22:00,1587.6212690136692
2022/9/29,9:23:00,1592.1908043877916
2022/9/29,9:24:00,1596.7290581197371
2022/9/29,9:25:00,1601.2359438076962
2022/9/29,9:26:00,1605.7113756470624
2022/9/29,9:27:00,1610.1552684320616
2022/9/29,9:28:00,1614.5675375573855
2022/9/29,9:29:00,1618.9480990197867
2022/9/29,9:30:00,1623.2968694196904
2022/9/29,9:31:00,1627.613765962778
2022/9/29,9:32:00,1631.8987064615603
2022/9/29,9:33:00,1636.1516093369478
2022/9/29,9:34:00,1640.3723936197987
2022/9/29,9:35:00,1644.560978952467
2022/9/29,9:36:00,1648.7172855903234
2022/9/29,9:37:00,1652.8412344032813
2022/9/29,9:38:00,1656.9327468773013
2022/9/29,9:39:00,1660.9917451158813
2022/9/29,9:40:00,1665.0181518415468
2022/9/29,9:41:00,1669.0118903973196
2022/9/29,9:42:00,1672.9728847481704
2022/9/29,9:43:00,1676.9010594824792
2022/9/29,9:44:00,1680.7963398134618
2022/9/29,9:45:00,1684.6586515805936
2022/9/29,9:46:00,1688.487921251027
2022/9/29,9:47:00,1692.2840759209873
2022/9/29,9:48:00,1696.0470433171633
2022/9/29,9:49:00,1699.7767517980762
2022/9/29,9:50:00,1703.4731303554554
2022/9/29,9:51:00,1707.1361086155814
2022/9/29,9:52:00,1710.765616840627
2022/9/29,9:53:00,1714.3615859299882
2022/9/29,9:54:00,1717.9239474215972
2022/9/29,9:55:00,1721.4526334932257
2022/9/29,9:56:00,1724.9475769637781
2022/9/29,9:57:00,1728.4087112945663
2022/9/29,9:58:00,1731.8359705905852
2022/9/29,9:59:00,1735.2292896017557
2022/9/29,10:00:00,1738.5886037241762
2022/9/29,10:01:00,1741.9138490013481
2022/9/29,10:02:00,1745.2049621253939
2022/9/29,10:03:00,1748.4618804382649
2022/9/29,10:04:00,1751.6845419329297
2022/9/29,10:05:00,1754.8728852545594
2022/9/29,10:06:00,1758.0268497016932
2022/9/29,10:07:00,1761.1463752273953
2022/9/29,10:08:00,1764.2314024403945
2022/9/29,10:09:00,1767.281872606221
2022/9/29,10:10:00,1770.297727648319
2022/9/29,10:11:00,1773.2789101491583
2022/9/29,10:12:00,1776.2253633513171
2022/9/29,10:13:00,1779.1370311585767
2022/9/29,10:14:00,1782.013858136979
2022/9/29,10:15:00,1784.855789515884
2022/9/29,10:16:00,1787.6627711890155
2022/9/29,10:17:00,1790.4347497154893
2022/9/29,10:18:00,1793.171672320829
2022/9/29,10:19:00,1795.873486897972
2022/9/29,10:20:00,1798.540142008267
2022/9/29,10:21:00,1801.171586882441
2022/9/29,10:22:00,1803.7677714215786
2022/9/29,10:23:00,1806.3286461980683
2022/9/29,10:24:00,1808.854162456546
2022/9/29,10:25:00,1811.3442721148217
2022/9/29,10:26:00,1813.798927764798
2022/9/29,10:27:00,1816.2180826733686
2022/9/29,10:28:00,1818.6016907833116
2022/9/29,10:29:00,1820.9497067141647
2022/9/29,10:30:00,1823.262085763089
2022/9/29,10:31:00,1825.5387839057207
